,file,hr_quote,hr_text,en_text,sentiment,verb_cue,speaker,ids
751,hr0.txt,"nisam dobio nikakvu naknadu, a najgore je to što tvrtka više ne postoji, s obzirom da je novi vlasnik promijenio njezinu namjenu","Nakon što je Hidroteknika privatizirana 2006. godine, ""nisam dobio nikakvu naknadu, a najgore je to što tvrtka više ne postoji, s obzirom da je novi vlasnik promijenio njezinu namjenu"", rekao je Berisha za SETimes.","After Hidroteknika was privatised in 2006, ""I never got any compensation, and the worst is that the company does not exist anymore, because the new owner has changed the destiny of it,"" Berisha told SETimes.",Negative,,,0
748,hr0.txt,"Moj je otac radio u tvrtki Hidroteknika, [kao i ja] do prosinca 1990. godine","""Moj je otac radio u tvrtki Hidroteknika, [kao i ja] do prosinca 1990. godine, ali onda sam izgubio posao zato što su nas srpske vlasti otpustile.","""My father worked at Hidroteknika, [as did] I until December 1990, but then I was removed because Serbian authorities removed us.",Neutral,,,0
749,hr0.txt,ali onda sam izgubio posao zato što su nas srpske vlasti otpustile.,"""Moj je otac radio u tvrtki Hidroteknika, [kao i ja] do prosinca 1990. godine, ali onda sam izgubio posao zato što su nas srpske vlasti otpustile.","""My father worked at Hidroteknika, [as did] I until December 1990, but then I was removed because Serbian authorities removed us.",Negative,,,0
750,hr0.txt,"Nadao sam se da ću nakon rata dobiti natrag svoj posao, ali to se nije dogodilo.","Nadao sam se da ću nakon rata dobiti natrag svoj posao, ali to se nije dogodilo.""","And after the war I hoped to get back to my job, but it never happened.""",Negative,,,0
752,hr0.txt,"Desetljeće kasnije, vidimo da je gospodarstvo užasno nestrukturirano.","""Desetljeće kasnije, vidimo da je gospodarstvo užasno nestrukturirano.","""A decade later, we see that the economy is terribly unstructured.",Negative,,,0
753,hr0.txt,"Većina proizvodnih tvrtki više ne postoji ili se koriste za skladištenje robe; učinkovitost kao koncept, čini se, bile su samo riječi, a nezaposlenost se produbljuje.","Većina proizvodnih tvrtki više ne postoji ili se koriste za skladištenje robe; učinkovitost kao koncept, čini se, bile su samo riječi, a nezaposlenost se produbljuje.",Most manufacturing companies no longer exist or are used for storage of goods; efficiency as a concept seems were only words and unemployment is deepening.,Negative,,,0
754,hr0.txt,"Na koncu je i broj stranih ulagača bio samo simboličan, kao i iznos koji su uložili","Na koncu je i broj stranih ulagača bio samo simboličan, kao i iznos koji su uložili"", rekao je Sejdiu za SETimes.","And ultimately the number of foreign investors has been symbolic, and the amount invested by them was symbolic,"" Sejdiu told SETimes.",Negative,,,0
756,hr0.txt,"U nekim slučajevima, privatizacija je mogla donijeti bolje usluge i učinkovitost.","Tu su i troškovi izgubljenih mogućnosti: ""U nekim slučajevima, privatizacija je mogla donijeti bolje usluge i učinkovitost.""","There is also the cost of opportunity lost: ""In some cases, privatisation may have led to better services and efficiency.""",Neutral,,,0
755,hr0.txt,"Glavni nedostatci su prodaja po niskim cijenama, s obzirom da se vrijednost [tvrtki] smanjivala zbog lošeg upravljanja, nefunkcioniranja tvrtki i optužbi za korupciju","""Glavni nedostatci su prodaja po niskim cijenama, s obzirom da se vrijednost [tvrtki] smanjivala zbog lošeg upravljanja, nefunkcioniranja tvrtki i optužbi za korupciju"", rekao je za SETimes.","""The main shortcomings are selling for lower prices, as the value [of the companies] decreased due to mismanagement, dysfunction of enterprises, and corruption charges,"" he told SETimes.",Negative,,,0
758,hr0.txt,gotovo 17.000 radnika u poduzećima koja su sada privatizirana.,"Ukazuje na tvrtke u istočnoj regiji Ana Morava, gdje je ranije bilo ""gotovo 17.000 radnika u poduzećima koja su sada privatizirana.","He cites companies in the eastern Ana Morava region, where there were formerly ""closed to 17,000 workers in enterprises which are now privatized.",Negative,,,0
